Year,Continent_Name,CO2 Emission,GDP,Temperature Change
1986,Africa,689.8240000000001,1272758197675.8801,0.31369502314814784
1986,Asia,127097.51799999997,13510578068811.53,0.3461742160278753
1986,Europe,8220.274000000001,13014767115286.807,0.5185616618075803
1986,North America,5272.5779999999995,9904093442729.0,0.12971999999999995
1986,Oceania,40017.016,473260684000.0,0.2083965131404886
1986,South America,529.712,2328992822527.0,0.2961
1987,Africa,689.8439999999999,1289541428539.4,0.7602991898148155
1987,Asia,129705.846,14188162578729.635,0.4721084684138771
1987,Europe,8248.592999999999,13324896444084.47,0.34027594752186563
1987,North America,5509.312,10241215212012.0,0.5603999999999999
1987,Oceania,40831.723000000005,493314011000.0,0.14739651314048852
1987,South America,557.029,2415969656476.0,0.5925000000000001
1988,Africa,724.9370000000001,1345523471104.7798,0.6310900989057233
1988,Asia,133737.36000000007,14977993758218.355,0.5148157854870467
1988,Europe,8301.202,13777593491011.463,0.8196432944606408
1988,North America,5738.683000000001,10649350626645.0,0.4935600000000003
1988,Oceania,42012.77099999998,511928742000.0,0.4923965131404881
1988,South America,579.968,2436447736330.0,0.1996
1989,Africa,698.09,1388395932474.48,0.1515692655723908
1989,Asia,135316.40400000007,15496969512468.861,0.33057188304802304
1989,Europe,8281.873,14135041566251.58,1.062194314868805
1989,North America,5868.505999999999,11015115144855.0,0.10627999999999996
1989,Oceania,42502.13799999999,531853613000.0,0.20560607196401806
1989,South America,579.4599999999999,2436851981741.0,0.20129999999999995
1990,Africa,656.4089999999998,1417423828155.41,0.6344139625420876
1990,Asia,138722.50899999996,16104657125606.6,0.4595644599303129
1990,Europe,8542.075,14112977066176.0,1.1861330903790088
1990,North America,6003.1990000000005,11220327840995.0,0.39912
1990,Oceania,43517.120999999985,538619826000.0,0.3721685719640178
1990,South America,583.124,2412825158478.0,0.38100000000000006
1991,Africa,685.612,1460728427009.1167,0.4551266818403334
1991,Asia,139025.85099999994,16553090511768.133,0.45566944402363363
1991,Europe,8237.418000000001,14100861221454.469,0.6595004373177848
1991,North America,5955.219,11240976842019.525,0.45932905660377404
1991,Oceania,43558.481,533993779860.365,0.3255543478260866
1991,South America,590.1940000000001,2528313401762.117,0.37279999999999996
1992,Africa,667.6380000000001,1486191581372.272,0.36319502314814767
1992,Asia,133223.62699999998,16991647997458.967,-0.2681633085896069
1992,Europe,7576.499000000001,13919133237291.416,0.6014064139941694
1992,North America,6073.320000000001,11625575307496.453,0.31933191374663056
1992,Oceania,41692.30099999998,551542394399.486,0.20287499999999975
1992,South America,599.222,2630909482285.303,0.28440000000000015
1993,Africa,707.787,1523972824456.8318,0.49116219486532037
1993,Asia,132851.69199999992,17713346863911.316,-0.07684623541887588
1993,Europe,7251.245999999998,13800838109091.8,0.2165696793002916
1993,North America,6180.2,11942844115717.977,0.32366609364081056
1993,Oceania,41492.47900000001,578292667613.089,0.05347794117647052
1993,South America,633.841,2773257396864.827,0.3289
1994,Africa,718.5419999999999,1587665910087.867,0.45816219486532
1994,Asia,131762.53000000006,18313103546657.74,0.5272269353128322
1994,Europe,6849.939,13888051833178.223,1.060202332361515
1994,North America,6307.255,12438925633636.29,0.5809290566037739
1994,Oceania,41097.342999999986,610099786001.165,0.20197794117647047
1994,South America,652.547,2934202209751.6553,0.47010000000000013
1995,Africa,770.2819999999999,1663402673919.1418,0.67816219486532
1995,Asia,133448.25799999994,19331448733652.285,0.4827073170731708
1995,Europe,6827.6939999999995,14261571906671.38,0.9496717201166187
1995,North America,6371.411,12706508654848.883,0.6566490566037733
1995,Oceania,41576.280999999995,635677305924.358,0.47147794117647035
1995,South America,685.342,3059313688597.3096,0.5760000000000002
1996,Africa,780.4599999999999,1785440858132.3374,0.561466203703703
1996,Asia,136717.74299999984,20396665932610.117,0.2719999999999993
1996,Europe,6878.017,14611451300481.1,0.12179416909621003
1996,North America,6596.52,13195545547434.877,0.3554399999999999
1996,Oceania,42571.384999999995,664467106213.181,0.45697794117647056
1996,South America,716.5409999999999,3168337463675.0547,0.3178999999999999
1997,Africa,810.0950000000004,1882537625758.459,0.6258664230019493
1997,Asia,136251.1999999998,21111242541163.707,0.3883170731707322
1997,Europe,6677.615,15163890245342.26,0.7246921282798836
1997,North America,6712.08,13824569012656.88,0.6928000000000007
1997,Oceania,42423.737,693331446800.188,0.2622591911764705
1997,South America,757.5420000000001,3344152864951.614,0.8230000000000003
1998,Africa,835.0449999999998,1984355937154.6978,1.0259120370370378
1998,Asia,135268.42000000007,21124418407907.645,0.9897317073170739
1998,Europe,6650.097,15629612485208.043,0.9326309037900867
1998,North America,6786.8099999999995,14454825064086.666,1.16572
1998,Oceania,42202.04599999999,727883397192.5841,0.7030716911764711
1998,South America,811.2920000000001,3409470857574.418,0.8714999999999998
1999,Africa,827.01,2081262558145.549,0.6508722643097644
1999,Asia,136636.0810000001,21915487033215.855,0.9884146341463407
1999,Europe,6528.107,16194188745919.97,1.0745084548104964
1999,North America,6890.210999999999,15142335889244.668,0.5563199999999996
1999,Oceania,42572.709,762091333516.783,0.4407279411764706
1999,South America,827.696,3382514530604.983,0.2597999999999999
2000,Africa,888.1469999999999,2202976132622.11,0.531613545657727
2000,Asia,140140.93599999993,23244679149825.96,0.6577391304347825
2000,Europe,6577.193,17091169552406.906,1.2957492711370262
2000,North America,7097.013999999999,15818418510843.95,0.4287300962566843
2000,Oceania,43612.97300000001,793867763997.291,0.42691544117647046
2000,South America,807.287,3510025738171.6035,0.25289999999999996
2001,Africa,882.2679999999999,2348977019702.929,0.6850162037037039
2001,Asia,141982.68000000002,24140299709590.086,0.9249586426299035
2001,Europe,6680.634999999999,17625807488732.41,1.3590962099125363
2001,North America,7012.231,15998149734944.94,0.6164216806722688
2001,Oceania,44172.004,818062689244.617,0.5805836282882713
2001,South America,818.7429999999999,3564583239065.515,0.5933
2002,Africa,887.3230000000001,2512082330947.5186,0.8900995370370376
2002,Asia,144465.57100000003,25389527640632.383,0.9836171792152719
2002,Europe,6673.336000000002,18173462452052.08,1.223524781341107
2002,North America,7066.421,16312795522371.16,0.7523158605664485
